# CE5 leaf -> CE6 twin page id (official catalogs, title-matched)
ACCEL	aa452837	ee505100
ASSERT	aa451037	ee488166
ASSERTMSG	aa451039	ee488600
AbnormalTermination	aa450784	ee488043
AbortDoc	aa452835	ee503766
AbortProc	aa452836	ee505034
ActivateKeyboardLayout	aa452845	ee504519
AdjustWindowRectEx	aa452849	ee506242
AlphaBlend	aa452850	ee501410
AppendMenu	aa452862	ee502212
BITMAP	aa452880	ee503208
BITMAPCOREHEADER	aa452881	ee502290
BITMAPCOREINFO	aa452882	ee505513
BITMAPFILEHEADER	aa452883	ee500466
BITMAPINFO	aa452884	ee500572
BITMAPINFOHEADER	aa452885	ee499706
BLENDFUNCTION	aa452889	ee506302
BM_CLICK	aa452890	ee505041
BM_GETCHECK	aa452891	ee503368
BM_GETSTATE	aa452892	ee503612
BM_SETCHECK	aa452893	ee503955
BM_SETSTATE	aa452894	ee500163
BM_SETSTYLE	aa452895	ee503911
BN_CLICKED	aa452896	ee500278
BN_KILLFOCUS	aa452897	ee505714
BN_SETFOCUS	aa452898	ee502311
BY_HANDLE_FILE_INFORMATION	aa516973	ee490365
Basic Common Control Styles	aa452868	ee504838
Basic Window Styles	aa452869	ee504355
BeginDeferWindowPos	aa452870	ee501388
BeginPaint	aa452871	ee505465
Binary Raster Operations	aa452878	ee499662
BitBlt	aa452879	ee501981
BringWindowToTop	aa452899	ee504610
CBN_CLOSEUP	ms908046	ee505701
CBN_DBLCLK	ms908047	ee504863
CBN_DROPDOWN	ms908049	ee500915
CBN_EDITCHANGE	ms908050	ee504383
CBN_EDITUPDATE	ms908051	ee500255
CBN_ERRSPACE	ms908053	ee505434
CBN_KILLFOCUS	ms908054	ee504006
CBN_SELCHANGE	ms908055	ee506091
CBN_SELENDCANCEL	ms908056	ee505669
CBN_SELENDOK	ms908057	ee499428
CBN_SETFOCUS	ms908058	ee502531
CB_ADDSTRING	aa452924	ee501454
CB_DELETESTRING	aa452925	ee500187
CB_FINDSTRING	aa452926	ee500894
CB_FINDSTRINGEXACT	aa452927	ee501926
CB_GETCOMBOBOXINFO	aa452928	ee500450
CB_GETCOUNT	ms939290	ee499337
CB_GETCURSEL	ms939382	ee504632
CB_GETDROPPEDCONTROLRECT	ms928334	ee501948
CB_GETDROPPEDSTATE	ms928340	ee501436
CB_GETDROPPEDWIDTH	ms928343	ee501971
CB_GETEDITSEL	ms928352	ee504104
CB_GETEXTENDEDUI	ms928359	ee500833
CB_GETHORIZONTALEXTENT	ms928366	ee504303
CB_GETITEMDATA	ms928374	ee502260
CB_GETITEMHEIGHT	ms928376	ee505512
CB_GETLBTEXT	ms928386	ee504874
CB_GETLBTEXTLEN	ms928395	ee506050
CB_GETLOCALE	ms907898	ee501921
CB_GETTOPINDEX	ms907963	ee502609
CB_INITSTORAGE	ms908027	ee502278
CB_INSERTSTRING	ms908036	ee500754
CB_LIMITTEXT	ms908045	ee502903
CB_RESETCONTENT	ms908059	ee499056
CB_SELECTSTRING	ms908060	ee505850
CB_SETCURSEL	ms908061	ee501397
CB_SETDROPPEDWIDTH	ms908062	ee502560
CB_SETEDITSEL	ms908063	ee505493
CB_SETEXTENDEDUI	ms908064	ee499715
CB_SETHORIZONTALEXTENT	ms908065	ee501076
CB_SETITEMDATA	ms908066	ee502898
CB_SETITEMHEIGHT	ms908067	ee504645
CB_SETLOCALE	ms908068	ee503487
CB_SETTOPINDEX	ms908069	ee499036
CB_SHOWDROPDOWN	ms908070	ee504102
CEDIRINFO	aa517001	ee490596
CEFILEINFO	aa517101	ee490784
CEL_CRITSEC_DELETE	ms885146	ee488553
CEL_CRITSEC_ENTER	aa450798	ee488566
CEL_CRITSEC_INIT	ms885147	ee488206
CEL_CRITSEC_LEAVE	aa450799	ee488179
CEL_DATA_LOSS	aa450800	ee487975
CEL_DEBUG_MSG	aa451045	ee488213
CEL_EVENT_CLOSE	aa450801	ee488190
CEL_EVENT_CREATE	aa450802	ee488634
CEL_EVENT_DELETE	aa450803	ee487946
CEL_EVENT_PULSE	aa450804	ee487956
CEL_EVENT_RESET	aa450805	ee488006
CEL_EVENT_SET	aa450806	ee488633
CEL_EXTRA_MODULE_INFO	ms885148	ee488774
CEL_EXTRA_PROCESS_INFO	ms885149	ee487961
CEL_HEADER	aa450807	ee488389
CEL_HEAP_ALLOC	aa450808	ee488571
CEL_HEAP_CREATE	aa450809	ee488643
CEL_HEAP_DESTROY	aa450810	ee488212
CEL_HEAP_FREE	aa450811	ee488360
CEL_HEAP_REALLOC	aa450812	ee488647
CEL_INTERRUPTS	aa450814	ee488029
CEL_INT_DATA	aa450813	ee488210
CEL_LOG_MARKER	aa450815	ee488782
CEL_MAPFILE_CREATE	aa451047	ee488044
CEL_MAPFILE_DESTROY	aa451049	ee488760
CEL_MAPFILE_FLUSH	aa451051	ee488425
CEL_MAPFILE_VIEW_CLOSE	aa451053	ee488589
CEL_MAPFILE_VIEW_OPEN	aa451055	ee488407
CEL_MAPFLUSH_TYPE	aa451058	ee488396
CEL_MEMTRACK_BASELINE	aa450816	ee488775
CEL_MODULE_FREE	aa450817	ee488936
CEL_MODULE_LOAD	aa450818	ee488239
CEL_MODULE_REFERENCES	ms885150	ee488559
CEL_MUTEX_CLOSE	aa450819	ee488015
CEL_MUTEX_CREATE	aa450820	ee488397
CEL_MUTEX_DELETE	aa450821	ee488359
CEL_MUTEX_RELEASE	aa450822	ee488424
CEL_PROCESS_CLOSE	aa450829	ee488224
CEL_PROCESS_CREATE	aa450830	ee488001
CEL_PROCESS_DELETE	ms884894	ee488598
CEL_PROCESS_REFCOUNT	ms885151	ee488217
CEL_PROCESS_TERMINATE	ms884998	ee488226
CEL_SEM_CLOSE	ms885107	ee488602
CEL_SEM_CREATE	ms885117	ee488759
CEL_SEM_DELETE	ms885125	ee488905
CEL_SEM_RELEASE	ms885126	ee488788
